sample number,Gender,Age,Faculty,Field,Last degree,Year of entering the university in the last degree,"In the past week, have you filled your free time with any of the following activities?",How much time did you spend exercising last week? (Total duration of activity per week),How much time did you spend exercising last week? (Total duration of activity per week)2,What sports do you do in your spare time?,How much time did you spend studying outside of school last week? (Total duration of activity per week),How much time did you spend studying outside of school last week? (Total duration of activity per week)3,What non-textbook did you read last week? State the title or type,How much time did you spend on art activities last week? (Total duration of activity per week),How much time did you spend on art activities last week? (Total duration of activity per week)4,What artistic activities do you do in your spare time?,"How much time did you spend on audio-visual activities (TV, radio, cinema, etc.) last week? (Total duration of activity per we","How much time did you spend on audio-visual activities (TV, radio, cinema, etc.) last week? (Total duration of activity per we5","In your spare time, which of the following audio-visual activities do you use for your leisure time?","How much time did you spend last week on social and recreational activities (travel, excursions, etc.)? (Total duration of ","How much time did you spend last week on social and recreational activities (travel, excursions, etc.)? (Total duration of 6",What social and recreational activities do you do in your spare time?,How much time did you spend on virtual social activities last week? (Total duration of activity per week),How much time did you spend on virtual social activities last week? (Total duration of activity per week)7,What kind of virtual activity do you do most in your spare time?
11/26/2020 17:40,Sir,19,Engineering,Computer Engineering ,Associate Degree,99,Virtual social activities,8,8:00, yoga,2,2:00,...........,0,0:00,.......,10,10:00,Television,0,0:00,,4,4:00,Telgram
11/26/2020 17:43,Sir,19,Engineering,Civil Engineering,Bachelor,98," Audio-visual activities (television, radio, cinema, satellite, etc.) , Virtual social activities",0,0:00,,0,0:00,,0,0:00,,7,7:00,Television,0,0:00,,7,7:00,YouTube
11/26/2020 18:03,Sir,20,Art,Handicrafts,Associate Degree,97,"Virtual social activities,Sports activities",19,19:00,"yoga, Aerobic",16,16:00,???? ??? ??????? . ???? ?? ? ???? ??????? . ???? . ???? ??? ???????,20,20:00,"Design,Mould,painting",17,17:00,Television,13,13:00,Party,20,20:00,Telgram
11/26/2020 18:33,Sir,21,Science,statistics,Bachelor,97,"Audio-visual activities (television, radio, cinema, satellite, etc.) , Virtual social activities,Sports activities,Recreational social activities (travel and excursions, etc.)",1,1:00,Bodybuilding,0,0:00,,0,0:00,,10,10:00,Television,14,14:00,Going to the nature,20,20:00," Instagram, Watsapp Telgram"
11/26/2020 18:33,Sir,38,Engineering,It,Bachelor,97,Sports activities,8,8:00," physical readiness, Mountaineering",2,2:00,????? ??? ???? ????,2,2:00,Photo editing,20,20:00,Television,6,6:00,Going to the nature,22.5,22:30," Instagram, Watsapp Telgram"
11/26/2020 18:39,Sir,25,Science,Mathematics,MA,97,"Audio-visual activities (television, radio, cinema, satellite, etc.) ,Sports activities",5,5:00,"riding bike,warm-up exercises",7,7:00,???? ????,5,5:00,painting,17,17:00,Music,1,1:00,,23,23:00,Instagram
11/26/2020 18:40,Sir,19,Engineering,Computer Engineering ,Bachelor,99,"Virtual social activities ,  Extracurricular study ",0,0:00,,1,1:00,??????,0,0:00,,23,23:00,Television,0,0:00,,15,15:00,Instagram
11/26/2020 18:45,Sir,22,Engineering,mechanical engineering,Bachelor,96,Artistic activity,1,1:00,riding bike,0,0:00,,2,2:00,Photography,10,10:00,Television,0,0:00,,10,10:00," Instagram, Watsapp Telgram"
11/26/2020 18:49,Sir,22,Engineering,mechanical engineering,Bachelor,96,"Audio-visual activities (television, radio, cinema, satellite, etc.) , Virtual social activities",0,0:00,,0,0:00,,0,0:00,,21,21:00,Television,0,0:00,,21,21:00," Instagram, Watsapp Telgram"
11/26/2020 18:54,Sir,19,"Humanities,literature,foreg in language,law and economics",Psychology,Associate Degree,99,"Audio-visual activities (television, radio, cinema, satellite, etc.) , Virtual social activities",1,1:00,warm-up exercises,1,1:00,?? ??? ?????-?????????,0.5,0:30,Photo editing,5,5:00,Music,0.5,0:30,Party,4,4:00,"Telgram, Instagram"
11/26/2020 18:56,Sir,21,Science,Applied Chemistry,Bachelor,97,Extracurricular study,0.5,0:30,walking,3,3:00,???? ???? ??? ?? ??????? ?????? ???,0,0:00,,8,8:00,Television,0,0:00,,3,3:00,"Telgram, Watsapp"
11/26/2020 19:04,Sir,19,Science,Biology ,Bachelor,98,"Virtual social activities ,Artistic activity,Extracurricular study ,Sports activities",6.5,6:30,"walking,Hooping",0,0:00,?????? ???? ?????,6,6:00,painting,10,10:00,Television,0,0:00,,14,14:00,"Telgram, Watsapp"
11/26/2020 19:06,Sir,22,Engineering,Industrial Management,Bachelor,96,"Audio-visual activities (television, radio, cinema, satellite, etc.) , Virtual social activities",2,2:00,walking,0,0:00,,0,0:00,,20,20:00,,0,0:00,,10.16666667,10:10,"Telgram, Watsapp"
11/26/2020 19:49,Sir,21,Engineering, Manufacturing Engineering,Bachelor,97,"Audio-visual activities (television, radio, cinema, satellite, etc.) , Virtual social activities",3,3:00,Bodybuilding,0,0:00,?????? ??? ?????,0,0:00,,10,10:00,,2,2:00,,20,20:00," Instagram, Watsapp Telgram"
11/26/2020 20:15,Sir,22,Engineering,Industrial Management,Bachelor,95,"Audio-visual activities (television, radio, cinema, satellite, etc.) ,Virtual social activities,Sports activities,  Extracurricular study ",5,5:00,walking,3,3:00,????,0,0:00,,22,22:00,Television,0,0:00,,7,7:00,Telgram
11/26/2020 20:45,Sir,21,Science,pure chemistry,Bachelor,96,"Audio-visual activities (television, radio, cinema, satellite, etc.) ",4,4:00,"walking,Track and Field",0.833333333,0:50,????? ???????? ??? ? ??? ???????,0,0:00,...,6,6:00,Television,5,5:00, Party,2,2:00," Instagram, Watsapp Telgram"
11/26/2020 22:12,Sir,22,Engineering,electrical engineering,Bachelor,96,"
 Audio-visual activities (television, radio, cinema, satellite, etc.) , Virtual social activities,Artistic activity
",1,1:00,walking,0,0:00,,3,3:00, Music,2,2:00,Television,0,0:00,,4,4:00,Telgram
11/26/2020 22:16,Sir,21,Engineering,pure chemistry,Bachelor,96,",Sports activities Audio-visual activities (television, radio, cinema, satellite, etc.) , Virtual social activities",7,7:00,walking,3,3:00,???????,0,0:00,,8,8:00,Music,0,0:00,,10,10:00,"Twitter, Telgram"
11/26/2020 22:50,Sir,20,Engineering,Computer Engineering ,Bachelor,96,"Sports activities,Virtual social activities",7.833333333,7:50,walking,0,0:00,,1,1:00,Mould,5.666666667,5:40,Television,0,0:00,,14,14:00,Instagram
11/26/2020 22:51,Sir,21,"Humanities,literature,foreg in language,law and economics",History,Bachelor,96,Sports activities,14.5,14:30,"walking,Aerobic",2,2:00,????? ???? ???? ???? ???? ??? ??,0.5,0:30,Calligraphy,16,16:00,Music,0,0:00,,18,18:00,Telgram
11/26/2020 23:17,Sir,23,Engineering,chemical engineering ,Bachelor,96,"Audio-visual activities (television, radio, cinema, satellite, etc.) , Virtual social activities",1.216666667,1:13,"walking,Aerobic",19.25,19:15,???????_?????_4 ??? ?? ???????_?? ?????_??? ???,17,17:00,Cooking,10,10:00,"Television,Music",0,0:00,,17,17:00," Twitter, Instagram"
11/27/2020 0:21,Sir,21,"Humanities,literature,foreg in language,law and economics",Educational Science,Bachelor,96,Virtual social activities,19,19:00,walking,1,1:00,??? ????????,1,1:00,painting,15,15:00,Television,5,5:00,,7,7:00,Instagram
11/27/2020 3:25,Sir,22,Art,Carpet,Bachelor,98," Audio-visual activities (television, radio, cinema, satellite, etc.), Virtual social activities",0.166666667,0:10,walking,10,10:00,?????.4??? ???????,15,15:00,"Carpet weaving,Design",0,0:00,,0,0:00,,10,10:00,Telgram
11/27/2020 10:17,Sir,20,"Humanities,literature,foreg in language,law and economics",English literature,Associate Degree,97,"Extracurricular study,Virtual social activities",1,1:00, Aerobic,3,3:00,???? ???,0,0:00,,5,5:00,Television,0,0:00,,6,6:00,"Instagram, YouTube, Telgram"
11/27/2020 12:05,Sir,19,Engineering, software engineering ,Bachelor,95,Virtual social activities,4,4:00,"walking,riding bike",0,0:00,,0,0:00,,23,23:00,Television,0,0:00,,23.98333333,23:59," Instagram, Watsapp Telgram"
11/27/2020 13:05,Sir,21,Engineering,mechanical engineering,Bachelor,97," Audio-visual activities (television, radio, cinema, satellite, etc.), Virtual social activities",0,0:00,,16,16:00,????? ??? ?????? ??? ... ???? ? ???? ,0,0:00,,19,19:00,Television,0,0:00,,14,14:00," Twitter, Instagram"
11/27/2020 13:34,Sir,22,Engineering,mechanical engineering,Bachelor,96,"
 Audio-visual activities (television, radio, cinema, satellite, etc.), Virtual social activities

 Audio-visual activities (television, radio, cinema, satellite, etc.), Virtual social activities
",1,1:00,Bodybuilding,0,0:00,,0,0:00,,20,20:00,Television,0,0:00,,2,2:00," Instagram, Watsapp Telgram"
11/27/2020 22:47,Sir,20,Engineering,electrical engineering,Bachelor,98," Audio-visual activities (television, radio, cinema, satellite, etc.), Virtual social activities",0,0:00,,0,0:00,,0,0:00,,21,21:00,,0,0:00,,20,20:00,
